scenario,use_flow,use_tof,csv,vel_total,vel_x,vel_y,vel_z
full measurements,True,True,flight_diag_lr_mtf,0.16345325505715422,0.116140329674607,0.09510277778824625,0.06468270301102276
full measurements,True,True,flight_sine_mtf,0.1063747859259268,0.0687313045429696,0.060709234592200394,0.053907250828042624
full measurements,True,True,flight_y_mtf,0.15000501906949867,0.059217365100458316,0.11959420365999987,0.06849843697143868
full measurements,True,True,flight_z_mtf,0.09326345834959843,0.04446644050394238,0.060708085439230376,0.05509388981130066
full measurements,True,True,square_60cm_mtf,0.10139702971651447,0.056845216021863675,0.06615463744300765,0.05170631485170435
full measurements,True,True,square_120cm_mtf,0.1072087835346772,0.058531208749380455,0.059646219708917876,0.06715764546019475
no flow-sensor measurements,False,False,flight_diag_lr_mtf,1.0983275003774235,0.2724588436586648,0.17054038847073139,1.050240664085025
no flow-sensor measurements,False,False,flight_sine_mtf,1.8038322884891302,0.12991069030894353,0.11688222068972831,1.795347510658041
no flow-sensor measurements,False,False,flight_y_mtf,0.8504384334070474,0.11628251109341828,0.18808171611986055,0.821187661068437
no flow-sensor measurements,False,False,flight_z_mtf,1.2039637351679153,0.04301693705446051,0.08936921189980103,1.1998713942295396
no flow-sensor measurements,False,False,square_60cm_mtf,1.9895417237920698,0.2806461510555897,0.1344715834638637,1.9650525188523398
no flow-sensor measurements,False,False,square_120cm_mtf,1.6853447027205153,0.21122940505669205,0.12962856779040025,1.6670228972153045
