timestamp,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.rateYaw,t_s
30107.906,0,1,-1,-1,0.0
30117.998,0,0,-1,-3,0.010092000000000554
30127.637,0,1,-1,0,0.019730999999999766
30137.746,0,0,-1,-4,0.029840000000000144
30147.401,-1,1,-1,0,0.03949500000000262
30157.498,0,0,-1,-1,0.04959200000000055
30167.136,0,1,-1,0,0.05922999999999956
30177.251,0,0,-1,-4,0.06934500000000117
30186.9,-3,3,0,0,0.07899400000000241
30197.0,-1,-6,0,-3,0.08909400000000096
30206.64,-6,-1,0,-1,0.09873400000000038
30216.75,-6,-1,0,-2,0.10884400000000095
30226.397,-2,4,-1,-3,0.1184910000000018
30236.502,-2,4,-1,-2,0.12859600000000138
30246.138,0,0,-1,0,0.13823199999999997
30256.26,-2,3,-1,-5,0.14835399999999935
30265.899,0,0,-1,-3,0.15799300000000221
30276.004,-1,3,-1,0,0.16809800000000177
30285.649,0,0,-1,0,0.1777430000000022
30295.76,-1,2,-1,-1,0.18785399999999935
30305.41,-1,2,-1,-2,0.19750400000000082
30315.499,-2,4,-1,0,0.20759300000000075
30325.141,-1,1,-1,0,0.2172350000000006
30335.248,-2,3,-1,-3,0.22734200000000054
30344.915,0,2,-1,1,0.23700900000000183
30355.014,-1,3,-1,-3,0.24710800000000016
30364.642,-1,1,-2,-1,0.2567360000000008
30374.758,-2,2,-2,-4,0.2668520000000026
30384.405,0,1,-2,0,0.2764989999999998
30394.509,-1,2,-2,-2,0.28660299999999916
30404.143,-1,1,-2,-1,0.29623700000000097
30414.254,-1,2,-2,-2,0.3063480000000018
30423.904,0,1,-2,-1,0.3159979999999996
30434.018,-1,2,-1,-2,0.326112000000001
30443.647,0,1,-1,3,0.3357410000000018
30453.752,-1,2,-1,-1,0.3458460000000014
30463.407,-1,2,-1,-4,0.3555010000000002
30473.509,0,1,-1,-1,0.3656029999999992
30483.16,0,1,-1,0,0.3752540000000008
30493.261,0,0,-1,0,0.38535499999999956
30502.922,0,0,-1,-2,0.39501599999999965
30512.999,0,0,-1,0,0.40509300000000076
30522.664,-1,1,-1,-2,0.4147580000000016
30532.763,0,1,-1,-4,0.424857
30542.413,-1,1,-1,-2,0.4345070000000014
30552.506,0,0,-1,0,0.44460000000000216
30562.154,0,1,-1,1,0.4542479999999996
30572.251,0,0,-1,-4,0.4643450000000012
30581.915,0,1,-1,-1,0.47400900000000185
30592.011,0,0,-1,0,0.48410499999999956
30601.656,0,0,-1,-4,0.49375
30611.752,0,0,-1,1,0.5038460000000013
30621.416,0,0,-1,-1,0.513510000000002
30631.513,0,0,-1,0,0.5236069999999999
30641.154,0,0,-1,-4,0.5332479999999996
30651.274,0,0,-1,-1,0.5433680000000022
30660.911,0,1,-1,-2,0.553005000000001
30671.007,0,0,-1,-2,0.5631010000000024
30680.656,0,0,-1,0,0.57275
30690.755,0,0,-1,0,0.582849000000002
30700.413,0,0,-1,-3,0.5925070000000014
30710.506,0,0,-1,0,0.6026000000000021
30720.153,0,0,-1,0,0.6122469999999994
30730.26,0,0,-1,-1,0.6223539999999994
30739.917,0,0,-1,-2,0.6320110000000022
30750.007,0,0,-1,-5,0.6421010000000024
30759.655,0,0,-1,-1,0.6517489999999998
30769.766,0,0,-1,0,0.6618600000000006
30779.425,0,0,-1,-4,0.6715190000000002
30789.534,0,0,-1,0,0.6816280000000006
30799.16,0,0,0,0,0.6912540000000008
30809.272,0,0,0,-2,0.7013660000000018
30818.917,0,0,0,-5,0.7110110000000023
30829.027,0,1,-1,-5,0.7211209999999992
30838.661,0,0,0,2,0.730755000000001
30848.771,-1,0,0,-5,0.7408650000000016
30858.418,0,0,0,-1,0.7505120000000024
30868.512,0,0,0,-3,0.7606059999999998
30878.159,0,0,0,-1,0.7702530000000006
30888.261,0,0,0,-5,0.7803549999999996
30897.935,0,0,0,0,0.7900290000000023
30908.016,0,1,0,-3,0.8001100000000005
30917.66,0,0,0,-2,0.8097540000000009
30927.776,0,0,0,-2,0.8198700000000027
30937.428,0,0,0,-3,0.8295220000000009
30947.513,0,0,0,-3,0.839607
30957.161,0,0,0,1,0.849255000000001
30967.27,0,0,0,0,0.8593640000000013
30976.922,0,0,0,-1,0.8690159999999996
30987.02,0,0,0,-4,0.8791140000000014
30996.665,0,0,0,-2,0.8887590000000019
31006.769,0,0,0,-5,0.8988630000000012
31016.428,0,0,0,-5,0.9085220000000008
31026.527,0,0,0,-4,0.9186209999999991
31036.164,0,0,0,2,0.9282580000000016
31046.272,0,0,0,-1,0.9383660000000018
31055.944,0,0,0,-1,0.9480380000000005
31066.017,0,0,0,-1,0.9581110000000008
31075.677,0,0,0,-6,0.9677710000000006
31085.777,0,0,0,2,0.9778709999999992
31095.432,0,0,0,-3,0.9875260000000017
31105.524,0,0,0,-2,0.9976180000000022
31115.176,0,1,0,-4,1.0072700000000003
31125.276,0,0,0,-1,1.0173700000000026
31134.937,-1,1,0,0,1.0270310000000027
31145.034,0,0,0,-5,1.0371280000000007
31154.668,0,0,0,-1,1.0467620000000024
31164.775,0,0,0,-2,1.0568690000000025
31174.44,0,0,0,-2,1.0665339999999996
31184.522,0,0,0,0,1.0766160000000018
31194.173,0,0,0,-2,1.0862669999999999
31204.289,0,0,0,-5,1.0963830000000017
31213.94,0,0,0,-4,1.1060339999999997
31224.026,0,0,0,0,1.1161200000000027
31233.679,0,0,0,-1,1.125773000000001
31243.779,0,0,0,-3,1.1358729999999997
31253.431,0,0,0,-4,1.1455250000000015
31263.529,0,0,0,-3,1.1556229999999996
31273.174,0,0,0,5,1.165268
31283.271,0,0,0,0,1.1753650000000015
31292.937,0,0,0,-3,1.1850310000000026
31303.028,0,0,0,0,1.1951219999999994
31312.684,0,0,0,-2,1.2047780000000021
31322.795,0,0,0,-2,1.2148889999999992
31332.436,0,0,0,0,1.2245300000000026
31342.54,0,0,0,-3,1.2346340000000018
31352.178,0,0,0,-4,1.244272000000001
31362.291,0,0,0,-2,1.254385000000002
31371.945,0,0,0,0,1.2640390000000006
31382.061,0,0,0,-1,1.2741550000000024
31391.688,0,0,0,1,1.2837819999999993
31401.798,0,0,0,0,1.2938919999999998
31411.44,0,0,0,-3,1.3035339999999997
31421.549,0,1,0,-1,1.3136430000000001
31431.18,0,0,0,-1,1.3232740000000012
31441.281,0,1,0,-3,1.333375
31450.941,0,0,0,-2,1.3430349999999998
31461.031,0,0,0,0,1.353125
31470.681,0,0,0,-1,1.3627750000000014
31480.782,0,0,0,-4,1.3728760000000002
31490.442,0,0,0,-1,1.382536
31500.534,0,0,0,-1,1.3926280000000006
31510.183,0,0,0,-1,1.4022770000000018
31520.287,0,0,0,-2,1.4123810000000012
31529.938,0,0,0,-1,1.4220319999999993
31540.047,0,0,0,-2,1.4321409999999997
31549.681,0,0,0,0,1.4417750000000014
31559.789,0,0,0,1,1.4518830000000016
31569.455,0,0,0,-3,1.4615490000000027
31579.536,0,0,0,0,1.471630000000001
31589.196,0,0,0,-2,1.4812900000000009
31599.285,0,0,0,-1,1.491379000000001
31608.953,0,0,0,-4,1.5010470000000022
31619.04,0,0,0,-3,1.5111340000000018
31628.689,0,0,0,0,1.5207829999999996
31638.787,0,0,0,-2,1.5308810000000013
31648.455,0,0,0,-1,1.5405490000000026
31658.54,0,0,0,0,1.5506340000000018
31668.199,0,0,0,-4,1.5602930000000015
31678.292,0,0,0,0,1.5703860000000023
31687.96,0,0,0,-2,1.580054
31698.047,0,0,0,-1,1.5901409999999996
31707.704,0,0,0,-3,1.5997980000000025
31717.803,0,0,0,-2,1.6098970000000008
31727.459,0,0,0,-5,1.6195529999999998
31737.552,0,0,0,0,1.6296460000000006
31747.202,0,0,0,0,1.639296000000002
31757.299,0,0,0,-3,1.649393
31766.949,0,0,0,-3,1.6590430000000014
31777.043,0,0,0,-4,1.6691370000000025
31786.698,0,0,0,0,1.6787920000000012
31796.796,0,0,0,-2,1.6888899999999993
31806.462,0,0,0,0,1.6985560000000004
31816.562,0,0,0,3,1.7086560000000026
31826.201,0,0,0,-3,1.718295000000002
31836.296,0,0,0,-4,1.7283899999999994
31845.955,0,1,0,-4,1.7380490000000026
31856.045,0,0,0,-4,1.7481389999999992
31865.696,0,0,0,0,1.7577900000000009
31875.806,0,0,0,0,1.7679000000000014
31885.454,0,0,0,-3,1.7775480000000026
31895.555,0,0,0,-4,1.7876490000000012
31905.194,0,0,0,1,1.7972880000000004
31915.3,0,0,0,-2,1.8073940000000002
31924.958,0,0,0,-3,1.8170519999999997
31935.056,0,0,0,-3,1.8271500000000014
31944.71,0,0,0,-5,1.836804
31954.814,0,1,0,-2,1.8469079999999996
31964.457,0,0,0,-5,1.8565509999999994
31974.569,0,0,0,-2,1.8666630000000004
31984.202,0,0,0,-1,1.8762960000000022
31994.305,0,0,0,-5,1.8863990000000013
32003.958,0,0,0,0,1.8960519999999996
32014.055,0,0,0,-2,1.9061490000000012
32023.702,0,0,0,-2,1.915796000000002
32033.802,0,0,0,-1,1.9258960000000007
32043.46,0,0,0,-2,1.935554
32053.556,0,0,0,-5,1.9456500000000014
32063.2,0,0,0,-2,1.9552940000000016
32073.303,0,0,0,1,1.965397000000001
32082.964,0,0,0,0,1.9750580000000009
32093.058,0,0,0,-2,1.9851520000000018
32102.705,0,0,0,-2,1.9947990000000027
32112.825,0,0,0,-3,2.004919000000002
32122.462,0,0,0,1,2.0145560000000007
32132.566,0,0,0,-6,2.02466
32142.207,0,0,0,2,2.0343009999999997
32152.306,0,0,0,0,2.0444000000000013
32161.967,0,0,0,-3,2.0540610000000017
32172.068,0,0,0,-2,2.064162
32181.704,0,1,0,-1,2.0737980000000027
32191.822,0,0,0,0,2.083916000000001
32201.469,0,0,0,0,2.093563000000002
32211.567,0,0,0,0,2.1036610000000002
32221.211,0,0,0,-1,2.1133050000000004
32231.321,0,0,0,-4,2.123415000000001
32240.974,0,0,0,-4,2.1330679999999993
32251.072,0,0,0,-5,2.1431660000000012
32260.71,0,1,0,-3,2.152804
32270.815,0,0,0,-5,2.1629089999999995
32280.475,0,0,0,42,2.1725689999999993
32290.567,3,-3,0,464,2.182661
32300.207,8,-8,0,-301,2.1923009999999996
32310.321,11,-12,-1,-118,2.2024150000000007
32319.981,15,-16,-1,-121,2.212075000000001
32330.067,18,-20,-2,8,2.2221610000000003
32339.716,22,-24,-2,22,2.231810000000001
32349.824,25,-28,-2,71,2.2419180000000014
32359.476,29,-32,-3,-25,2.2515699999999996
32369.563,32,-36,-3,-48,2.261656999999999
32379.214,35,-40,-3,288,2.2713080000000008
32389.313,38,-44,-3,-442,2.2814069999999993
32398.978,41,-48,-4,-511,2.291072
32409.085,44,-51,-3,-179,2.3011790000000003
32418.721,46,-55,-4,158,2.3108150000000025
32428.818,49,-58,-4,-513,2.3209120000000003
32438.48,51,-62,-6,-152,2.3305740000000004
32448.574,53,-65,-4,347,2.3406680000000013
32458.213,57,-70,26,863,2.350307000000001
32468.331,64,-77,109,766,2.3604249999999993
32477.976,64,-80,143,-734,2.3700699999999997
32488.082,63,-81,109,4381,2.3801759999999996
32497.715,66,-90,179,3650,2.389809000000001
32507.825,65,-90,166,-3267,2.3999190000000015
32517.484,62,-88,72,2640,2.4095780000000016
32527.581,69,-104,239,6785,2.4196749999999994
32537.216,73,-110,359,-4108,2.4293100000000014
32547.33,75,-117,410,8326,2.439424000000003
32556.984,78,-124,453,2920,2.4490780000000014
32567.079,76,-126,474,-1395,2.4591730000000025
32576.721,70,-120,274,1689,2.4688150000000024
32586.832,76,-134,519,-5089,2.4789259999999995
32596.485,72,-136,534,2521,2.4885790000000014
32606.588,68,-137,518,52,2.4986820000000005
32616.232,66,-138,580,892,2.5083260000000007
32626.329,60,-137,516,2356,2.5184230000000025
32635.984,56,-134,362,-3843,2.528078000000001
32646.082,49,-133,527,-4359,2.5381759999999995
32655.721,41,-134,531,7403,2.547815000000002
32665.845,38,-132,487,-2707,2.557939000000002
32675.497,32,-127,539,1602,2.567591
32685.589,28,-124,478,1984,2.577683000000001
32695.226,24,-124,401,-4163,2.5873199999999996
32705.34,16,-124,370,8697,2.597434000000001
32714.986,3,-116,453,-4668,2.6070800000000016
32725.079,-3,-112,472,2521,2.6171730000000024
32734.734,-11,-108,506,-214,2.6268280000000015
32744.829,-26,-93,576,1870,2.6369230000000026
32754.491,-30,-91,516,412,2.6465850000000026
32764.59,-37,-93,482,7358,2.656684000000001
32774.228,-47,-63,598,-5919,2.6663220000000036
32784.33,-63,-56,649,3528,2.6764240000000026
32793.992,-90,5,670,272,2.6860859999999995
32804.08,-106,22,721,-4136,2.6961740000000027
32813.739,-97,17,628,1916,2.7058330000000024
32823.846,-104,14,614,6447,2.715939999999999
32833.495,-123,23,658,-11346,2.7255890000000034
32843.592,-130,-20,678,3886,2.735685999999998
32853.24,-140,-20,694,2826,2.745333999999999
32863.335,-156,16,706,-732,2.755429
32873.002,-162,18,679,-271,2.7650960000000016
32883.096,-154,21,609,1616,2.7751899999999985
32892.742,-166,17,621,-4868,2.7848359999999994
32902.846,-170,7,627,2781,2.7949399999999986
32912.5,-173,7,579,3153,2.804594000000001
32922.588,-187,7,638,1052,2.8146820000000043
32932.234,-195,7,647,1159,2.8243279999999977
32942.338,-201,15,660,1876,2.8344320000000045
32951.992,-202,15,618,-888,2.8440859999999994
32962.093,-199,13,585,-944,2.854187000000002
32971.745,-211,5,660,604,2.8638390000000036
32981.836,-203,-9,584,-5008,2.873930000000004
32991.499,-207,-13,593,2825,2.8835930000000043
33001.591,-206,-8,608,269,2.8936850000000014
33011.235,-205,-9,570,-3256,2.9033290000000016
33021.338,-202,-14,579,1040,2.9134320000000042
33031.0,-200,-14,532,-8,2.9230940000000007
33041.088,-193,-14,475,1391,2.9331820000000044
33050.736,-187,-16,418,-2408,2.942829999999998
33060.84,-182,-19,372,2635,2.9529339999999973
33070.503,-174,-31,370,-3853,2.962596999999998
33080.616,-167,-31,281,2429,2.972710000000003
33090.238,-161,-32,252,847,2.9823319999999987
33100.349,-155,-31,227,-2240,2.992443000000003
33109.995,-144,-27,149,-790,3.002089000000004
33120.097,-140,-21,156,2489,3.0121910000000027
33129.742,-134,-21,112,-984,3.0218359999999995
33139.854,-129,-19,105,1950,3.0319480000000003
33149.499,-121,-21,129,7667,3.041593000000004
33159.595,-117,-21,209,-8017,3.0516890000000023
33169.25,-109,-34,144,5564,3.061344000000001
33179.362,-102,-27,188,6695,3.0714560000000017
33189.001,-98,-30,280,1430,3.0810949999999977
33199.11,-94,-28,200,4177,3.0912040000000016
33208.742,-82,-13,247,-1908,3.1008359999999993
33218.848,-76,-10,345,1071,3.110941999999999
33228.502,-73,-21,319,-4040,3.1205960000000013
33238.605,-67,-19,275,-1587,3.1306990000000043
33248.243,-61,0,333,4287,3.1403370000000033
33258.351,-57,7,373,2443,3.1504450000000035
33268.003,-54,20,254,-613,3.1600969999999977
33278.097,-49,22,314,-64,3.1701910000000026
33287.754,-42,18,363,5016,3.1798480000000016
33297.871,-39,18,336,-2954,3.189965
33307.505,-35,14,296,2453,3.1995989999999983
33317.609,-29,23,324,4663,3.2097029999999975
33327.254,-21,34,391,-2798,3.219348000000002
33337.358,-21,35,322,3921,3.229452000000001
33347.016,-26,52,362,-1999,3.239110000000004
33357.112,-23,56,491,-1038,3.249206000000002
33366.757,-21,53,457,998,3.2588509999999986
33376.863,-20,50,439,-6635,3.2689569999999986
33386.525,-16,60,520,-2621,3.2786190000000026
33396.613,-18,48,516,2709,3.2887069999999987
33406.267,-19,47,444,-5196,3.2983610000000008
33416.355,-15,53,572,9808,3.308449000000004
33426.03,-15,53,558,-4204,3.3181239999999996
33436.115,-17,42,516,3065,3.328208999999999
33445.759,-17,44,516,-1333,3.337852999999999
33455.867,-17,39,525,159,3.3479609999999993
33465.518,-18,40,505,24,3.3576119999999974
33475.603,-18,49,432,552,3.3676970000000037
33485.261,-20,46,471,476,3.3773549999999997
33495.363,-22,37,489,-758,3.3874569999999986
33505.016,-24,33,461,287,3.397110000000004
33515.125,-25,28,432,1255,3.407219000000001
33524.761,-26,30,415,-4064,3.4168549999999995
33534.86,-29,28,459,-685,3.4269540000000016
33544.515,-32,27,421,3900,3.4366090000000002
33554.614,-35,45,410,-5553,3.4467080000000023
33564.254,-41,46,552,-4801,3.456348000000002
33574.361,-43,34,499,685,3.466454999999998
33584.017,-44,30,494,-1552,3.476111000000001
33594.113,-46,29,487,-2867,3.4862069999999985
33603.755,-51,32,528,-6388,3.4958489999999984
33613.869,-48,51,443,4579,3.505963
33623.515,-51,48,484,-841,3.5156090000000004
33633.619,-56,28,549,-9137,3.5257129999999997
33643.259,-55,26,475,5828,3.5353529999999993
33653.376,-58,22,486,-3385,3.5454699999999977
33663.017,-57,30,436,-6880,3.5551110000000006
33673.138,-59,33,427,3232,3.565232
33682.757,-64,33,411,-837,3.574850999999999
33692.876,-62,31,349,-421,3.5849699999999975
33702.518,-66,36,436,4928,3.5946119999999975
33712.633,-67,35,426,-8616,3.6047270000000027
33722.259,-66,28,442,1042,3.614352999999999
33732.363,-66,27,426,5069,3.6244569999999987
33742.025,-66,31,413,6086,3.6341190000000023
33752.128,-69,36,458,-7238,3.644221999999998
33761.769,-66,50,401,-599,3.653863000000001
33771.873,-73,57,576,8262,3.6639670000000004
33781.525,-74,24,546,26,3.6736190000000026
33791.618,-72,20,527,4417,3.683712000000003
33801.275,-71,33,508,382,3.6933690000000023
33811.379,-73,38,512,4506,3.7034730000000016
33821.022,-73,37,500,-665,3.713115999999998
33831.122,-71,35,436,-328,3.723216000000004
33840.765,-76,24,560,7383,3.7328590000000004
33850.865,-75,22,501,-6989,3.742958999999999
33860.526,-74,8,490,-2247,3.752619999999999
33870.631,-75,7,475,1721,3.7627250000000023
33880.273,-70,0,414,-4170,3.772367000000002
33890.367,-71,4,401,-961,3.782460999999999
33900.027,-71,4,371,274,3.792121000000003
33910.119,-71,11,327,-1678,3.8022129999999996
33919.77,-71,6,438,7246,3.8118639999999977
33929.883,-71,5,422,-3153,3.8219770000000026
33939.531,-69,0,454,-1050,3.831625000000004
33949.629,-66,6,427,3198,3.8417230000000018
33959.272,-66,12,424,5143,3.8513659999999983
33969.371,-62,4,426,-840,3.861465
33979.037,-58,2,370,3921,3.8711309999999974
33989.138,-61,25,535,507,3.881232
33998.768,-58,23,449,1612,3.890861999999997
34008.873,-49,16,477,-1931,3.9009670000000005
34018.537,-47,17,445,779,3.9106309999999977
34028.621,-44,9,425,894,3.920715
34038.27,-42,8,395,-2359,3.9303639999999977
34048.371,-41,14,369,413,3.940465
34058.045,-41,16,466,3152,3.950138999999999
34068.134,-37,-5,410,384,3.960227999999999
34077.781,-34,-8,399,1654,3.9698750000000036
34087.884,-33,0,421,-363,3.979977999999999
34097.534,-32,1,328,-1562,3.9896280000000006
34107.649,-34,2,325,-1190,3.9997429999999987
34117.284,-32,0,327,-3179,4.009378000000001
34127.397,-30,10,393,7904,4.019490999999999
34137.05,-32,13,469,-6660,4.029144000000004
34147.139,-28,2,442,5145,4.039233000000004
34156.792,-26,-1,487,324,4.048886000000002
34166.895,-28,-3,447,-3995,4.058988999999998
34176.553,-28,-1,406,840,4.068647000000001
34186.64,-30,19,446,6125,4.078734000000001
34196.296,-33,23,548,-5822,4.088390000000003
34206.382,-33,22,508,5881,4.098475999999999
34216.048,-29,4,512,3528,4.1081420000000035
34226.151,-32,-2,500,-1877,4.118244999999999
34235.787,-34,0,448,-3230,4.127880999999998
34245.89,-33,-1,388,2617,4.137984
34255.545,-39,-5,454,-1948,4.147638999999999
34265.663,-42,-4,483,948,4.157757000000001
34275.283,-41,-14,467,602,4.167377000000004
34285.389,-40,-16,458,-3356,4.177483000000004
34295.041,-47,4,453,4986,4.187134999999999
34305.157,-48,5,403,4177,4.1972510000000005
34314.787,-47,11,347,-6675,4.206880999999997
34324.897,-48,9,349,-2063,4.216990999999998
34334.539,-53,16,512,12555,4.226632999999998
34344.65,-56,16,492,-6138,4.2367440000000025
34354.279,-54,-1,533,9342,4.246373000000003
34364.391,-54,-1,533,6027,4.256485000000004
34374.043,-58,4,538,1305,4.266136999999999
34384.141,-58,5,465,-1984,4.276235000000004
34393.783,-56,14,413,-3780,4.285877000000004
34403.901,-59,5,520,9834,4.295994999999999
34413.541,-60,-3,536,-3964,4.305634999999999
34423.653,-59,-7,517,5922,4.315746999999999
34433.285,-59,0,541,2745,4.325379000000004
34443.39,-58,-2,486,-6610,4.335484
34453.049,-54,-3,447,-707,4.345143
34463.159,-52,-3,351,697,4.355253
34472.782,-51,-8,330,869,4.364876000000001
34482.9,-50,-4,400,-5400,4.374994000000003
34492.553,-48,-14,357,4063,4.384647000000001
34502.641,-47,-17,330,2547,4.394735000000004
34512.294,-44,-23,362,2271,4.404388000000003
34522.399,-42,-23,296,-5756,4.4144929999999984
34532.054,-40,-23,234,1563,4.424147999999997
34542.142,-39,-23,189,-208,4.434236000000001
34551.795,-37,-23,75,90,4.4438889999999995
34561.899,-35,-23,59,3934,4.453992999999999
