Frame,Time (Seconds),qX,qY,qZ,qW,pX,pY,pZ
0,0.000000,-0.005972,0.151168,-0.001619,-0.988489,-1.322286,0.051800,-0.084264
1,0.002778,-0.004985,0.150758,-0.003032,-0.988554,-1.322045,0.051406,-0.084187
2,0.005556,-0.006278,0.151293,-0.002122,-0.988467,-1.322320,0.051860,-0.084221
3,0.008333,-0.005342,0.150179,-0.002524,-0.988641,-1.322168,0.051817,-0.084124
4,0.011111,-0.005618,0.150356,-0.002969,-0.988611,-1.322164,0.051805,-0.084118
5,0.013889,-0.005067,0.150922,-0.002855,-0.988529,-1.322101,0.051626,-0.084232
6,0.016667,-0.005625,0.150254,-0.002941,-0.988627,-1.322166,0.051879,-0.084108
7,0.019444,-0.005493,0.151239,-0.002831,-0.988478,-1.322119,0.051549,-0.084266
8,0.022222,-0.005308,0.151213,-0.003117,-0.988482,-1.322038,0.051650,-0.084252
9,0.025000,-0.006740,0.150646,-0.002135,-0.988562,-1.322283,0.052212,-0.084220
10,0.027778,-0.005409,0.151172,-0.000851,-0.988492,-1.322242,0.051604,-0.084278
11,0.030556,-0.005617,0.151027,-0.001124,-0.988513,-1.322187,0.051970,-0.084308
12,0.033333,-0.005951,0.151795,-0.002104,-0.988392,-1.322181,0.051381,-0.084358
13,0.036111,-0.005617,0.150300,-0.002915,-0.988620,-1.322158,0.051839,-0.084106
14,0.038889,-0.004952,0.151757,-0.002057,-0.988403,-1.322198,0.051030,-0.084351
15,0.041667,-0.005306,0.151098,-0.002964,-0.988500,-1.322040,0.051619,-0.084266
16,0.044444,-0.005000,0.150435,-0.002287,-0.988605,-1.322117,0.051666,-0.084112
17,0.047222,-0.004543,0.150133,-0.001869,-0.988654,-1.322140,0.051600,-0.084127
18,0.050000,-0.005659,0.150239,-0.002886,-0.988629,-1.322188,0.051826,-0.084121
19,0.052778,-0.005415,0.150092,-0.002489,-0.988654,-1.322152,0.051864,-0.084146
20,0.055556,-0.005587,0.151151,-0.003466,-0.988489,-1.322076,0.051640,-0.084240
21,0.058333,-0.005557,0.150339,-0.002985,-0.988614,-1.322156,0.051895,-0.084118
22,0.061111,-0.005038,0.150828,-0.002998,-0.988543,-1.322033,0.051473,-0.084197
23,0.063889,-0.005026,0.150147,-0.002430,-0.988648,-1.322113,0.051790,-0.084117
24,0.066667,-0.005279,0.151043,-0.002951,-0.988509,-1.322085,0.051646,-0.084269
25,0.069444,-0.005650,0.151064,-0.003469,-0.988502,-1.322098,0.051618,-0.084245
26,0.072222,-0.005409,0.151251,-0.002637,-0.988477,-1.322075,0.051492,-0.084263
27,0.075000,-0.005521,0.150550,-0.002693,-0.988583,-1.322272,0.051876,-0.084148
28,0.077778,-0.005608,0.150278,-0.002906,-0.988624,-1.322159,0.051800,-0.084128
29,0.080556,-0.005165,0.150925,-0.003216,-0.988526,-1.322069,0.051606,-0.084242
30,0.083333,-0.005716,0.150272,-0.002946,-0.988624,-1.322172,0.051873,-0.084106
31,0.086111,-0.006038,0.152202,-0.002200,-0.988329,-1.322207,0.051493,-0.084421
32,0.088889,-0.005834,0.150403,-0.002984,-0.988603,-1.322178,0.051878,-0.084128
33,0.091667,-0.004340,0.151118,-0.002729,-0.988502,-1.322003,0.051379,-0.084274
34,0.094444,-0.005146,0.150288,-0.002224,-0.988626,-1.322139,0.051800,-0.084165
35,0.097222,-0.005876,0.150313,-0.002855,-0.988617,-1.322171,0.051829,-0.084139
36,0.100000,-0.005153,0.150891,-0.002892,-0.988533,-1.322084,0.051655,-0.084222
37,0.102778,-0.005565,0.151010,-0.003568,-0.988510,-1.322076,0.051603,-0.084188
38,0.105556,-0.005345,0.151989,-0.001727,-0.988366,-1.322180,0.051251,-0.084400
39,0.108333,-0.005637,0.150446,-0.002739,-0.988598,-1.322162,0.051921,-0.084141
40,0.111111,-0.005395,0.150429,-0.002933,-0.988602,-1.322164,0.051870,-0.084086
41,0.113889,-0.005241,0.150928,-0.002988,-0.988526,-1.322068,0.051591,-0.084242
42,0.116667,-0.004755,0.150243,-0.002333,-0.988635,-1.322166,0.051676,-0.084096
43,0.119444,-0.005443,0.150185,-0.002336,-0.988640,-1.322163,0.051887,-0.084144
44,0.122222,-0.005533,0.150323,-0.002847,-0.988617,-1.322178,0.051892,-0.084103
45,0.125000,-0.005023,0.150816,-0.003077,-0.988544,-1.322057,0.051456,-0.084200
46,0.127778,-0.005247,0.150130,-0.002394,-0.988650,-1.322161,0.051846,-0.084130
47,0.130556,-0.005679,0.150333,-0.002758,-0.988615,-1.322186,0.051896,-0.084146
48,0.133333,-0.005264,0.150918,-0.003286,-0.988527,-1.322081,0.051587,-0.084265
49,0.136111,-0.004746,0.150239,-0.002211,-0.988636,-1.322160,0.051652,-0.084099
50,0.138889,-0.006138,0.151150,-0.001785,-0.988490,-1.322283,0.051802,-0.084280
51,0.141667,-0.007265,0.151885,-0.001259,-0.988371,-1.322412,0.051990,-0.084386
52,0.144444,-0.004821,0.150948,-0.003138,-0.988525,-1.322060,0.051561,-0.084251
53,0.147222,-0.006204,0.151311,-0.001942,-0.988465,-1.322323,0.051765,-0.084241
54,0.150000,-0.005383,0.150166,-0.003273,-0.988641,-1.322128,0.051753,-0.084048
55,0.152778,-0.005974,0.152137,-0.002027,-0.988339,-1.322182,0.051560,-0.084399
56,0.155556,-0.005753,0.150295,-0.003085,-0.988620,-1.322201,0.051781,-0.084106
57,0.158333,-0.005129,0.151084,-0.002902,-0.988503,-1.322036,0.051666,-0.084272
58,0.161111,-0.005496,0.151023,-0.003444,-0.988509,-1.322122,0.051689,-0.084230
59,0.163889,-0.005527,0.150305,-0.003019,-0.988620,-1.322187,0.051825,-0.084114
60,0.166667,-0.005340,0.150262,-0.002446,-0.988629,-1.322144,0.051820,-0.084151
