Format Version,1.23,Take Name,REL_DATA_GOOD_SD_NO_DRAG_TAKE2_001,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2026-04-21 02.43.24.738 PM,Total Frames in Take,14838,Total Exported Frames,14838,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,flapper_00,flapper_00,flapper_00,flapper_00,flapper_00,flapper_00,flapper_00,flapper_01,flapper_01,flapper_01,flapper_01,flapper_01,flapper_01,flapper_01,flapper_02,flapper_02,flapper_02,flapper_02,flapper_02,flapper_02,flapper_02
,ID,"385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,0.008037,0.766195,-0.008270,-0.642504,0.278427,0.122580,0.017580,0.007082,-0.850667,0.000698,0.525657,0.082738,0.128191,1.653657,-0.016276,-0.791658,-0.005775,0.610721,0.693043,0.121902,-1.396443
1,0.005556,0.008061,0.766195,-0.008289,-0.642504,0.278419,0.122610,0.017559,0.006550,-0.851687,0.000883,0.524009,0.082798,0.128093,1.653761,-0.014937,-0.794984,-0.002935,0.606440,0.693069,0.123069,-1.395739
2,0.011111,0.007935,0.766207,-0.008307,-0.642491,0.278413,0.122587,0.017609,0.005964,-0.849753,0.001198,0.527147,0.082517,0.127534,1.653378,-0.015103,-0.794662,-0.002715,0.606859,0.693036,0.123113,-1.395734
3,0.016667,0.008111,0.766273,-0.008365,-0.642410,0.278413,0.122571,0.017566,0.006554,-0.851469,0.000867,0.524364,0.082788,0.128136,1.653732,-0.015216,-0.794874,-0.002801,0.606578,0.693080,0.123025,-1.395763
4,0.022222,0.008091,0.766780,-0.008767,-0.641799,0.278414,0.122371,0.017426,0.006542,-0.851441,0.000841,0.524409,0.082752,0.128125,1.653730,-0.015049,-0.794960,-0.002892,0.606468,0.693051,0.123039,-1.395725
5,0.027778,0.008015,0.766232,-0.008372,-0.642459,0.278403,0.122586,0.017584,0.005998,-0.849659,0.001245,0.527296,0.082488,0.127504,1.653392,-0.015089,-0.794801,-0.002940,0.606675,0.693071,0.123128,-1.395695
6,0.033333,0.008036,0.766191,-0.008270,-0.642509,0.278428,0.122613,0.017594,0.006500,-0.851541,0.000779,0.524247,0.082737,0.128027,1.653733,-0.015042,-0.794890,-0.002901,0.606561,0.693037,0.123075,-1.395721
7,0.038889,0.008140,0.766145,-0.008375,-0.642562,0.278431,0.122587,0.017566,0.007245,-0.850613,0.001423,0.525741,0.082589,0.128059,1.653567,-0.014944,-0.794924,-0.002921,0.606518,0.693046,0.123108,-1.395713
8,0.044444,0.007767,0.766692,-0.008698,-0.641909,0.278422,0.122311,0.017369,0.006889,-0.850603,0.000644,0.525763,0.082685,0.128093,1.653638,-0.015070,-0.794572,-0.002941,0.606976,0.693004,0.123104,-1.395682
9,0.050000,0.008090,0.766206,-0.008314,-0.642491,0.278408,0.122576,0.017569,0.005959,-0.849641,0.001324,0.527327,0.082530,0.127539,1.653358,-0.014989,-0.794971,-0.002936,0.606455,0.693079,0.123094,-1.395686
10,0.055556,0.007987,0.766129,-0.008282,-0.642584,0.278414,0.122570,0.017560,0.006875,-0.850582,0.000551,0.525798,0.082749,0.128148,1.653668,-0.015155,-0.794765,-0.002890,0.606721,0.693042,0.123104,-1.395716
11,0.061111,0.008010,0.766263,-0.008314,-0.642423,0.278415,0.122565,0.017587,0.006013,-0.850953,0.000808,0.525207,0.082759,0.128159,1.653789,-0.015012,-0.795079,-0.002895,0.606313,0.693067,0.123099,-1.395729
12,0.066667,0.007997,0.766131,-0.008282,-0.642582,0.278406,0.122582,0.017590,0.006425,-0.849568,0.002115,0.527436,0.082376,0.127480,1.653298,-0.013987,-0.796711,-0.002887,0.604191,0.692760,0.123031,-1.395774
13,0.072222,0.008093,0.766183,-0.008344,-0.642518,0.278401,0.122612,0.017570,0.005891,-0.849555,0.001336,0.527466,0.082528,0.127551,1.653399,-0.014998,-0.794907,-0.002715,0.606540,0.693033,0.123101,-1.395711
14,0.077778,0.008031,0.766116,-0.008352,-0.642598,0.278410,0.122632,0.017594,0.006553,-0.851003,0.001496,0.525118,0.082596,0.128052,1.653684,-0.014935,-0.795008,-0.002790,0.606409,0.693040,0.123123,-1.395705
15,0.083333,0.007994,0.766779,-0.008872,-0.641800,0.278385,0.122402,0.017420,0.006468,-0.851542,0.000896,0.524246,0.082749,0.128084,1.653747,-0.014319,-0.796763,-0.003112,0.604114,0.692827,0.123007,-1.395758
